tcgId,foil,directLow,market,low,mid,high
213,False,0.09,0.09,0.09,0.24,5.1
213,True,,,,,
214,False,2.67,4.69,2.67,4.31,6.99
214,True,,,,,
215,False,,0.16,0.09,0.24,2.99
215,True,,,,,
216,False,0.11,0.47,0.13,0.55,16.89
216,True,,,,,
217,False,1.69,2.9,2.0,2.99,6.95
217,True,,,,,
220,False,,1.98,1.3,1.97,3.25
220,True,,,,,
221,False,0.34,1.14,0.34,0.99,79.99
221,True,,,,,
222,False,0.57,1.82,0.68,1.72,5.99
222,True,,,,,
223,False,,0.1,0.09,0.25,4.99
223,True,,,,,
224,False,0.26,0.3,0.21,0.31,3.99
224,True,,,,,
225,False,0.1,0.13,0.06,0.24,4.99
225,True,,,,,
226,False,1.02,4.43,0.98,1.59,2499.99
226,True,,,,,
227,False,0.14,0.24,0.14,0.25,4.99
227,True,,,,,
228,False,6.97,9.75,6.97,10.61,2499.99
228,True,,,,,
229,False,,0.16,0.09,0.25,2.99
229,True,,,,,
230,False,,0.23,0.07,0.26,4.99
230,True,,,,,
231,False,40.97,60.99,51.35,55.07,69.99
231,True,,,,,
232,False,0.18,0.18,0.17,0.28,16.89
232,True,,,,,
233,False,0.13,0.14,0.05,0.25,2.99
233,True,,,,,
234,False,0.09,0.09,0.05,0.23,2.0
234,True,,,,,
235,False,,0.14,0.08,0.25,2.0
235,True,,,,,
236,False,0.09,0.11,0.09,0.23,2.99
236,True,,,,,
237,False,0.2,0.3,0.14,0.32,3.99
237,True,,,,,
238,False,0.14,0.14,0.11,0.25,3.99
238,True,,,,,
239,False,0.03,0.08,0.05,0.23,999.99
239,True,,,,,
240,False,,0.3,0.15,0.28,2.0
240,True,,,,,
241,False,0.23,0.24,0.21,0.3,3.99
241,True,,,,,
242,False,0.82,1.13,0.82,1.05,9.91
242,True,,,,,
243,False,0.19,0.3,0.19,0.3,6.99
243,True,,,,,
244,False,0.1,0.21,0.1,0.27,9.99
244,True,,,,,
245,False,0.07,0.23,0.06,0.25,4.99
245,True,,,,,
246,False,0.19,0.25,0.19,0.33,4.18
246,True,,,,,
247,False,0.09,0.1,0.08,0.25,4.99
247,True,,,,,
248,False,0.21,0.21,0.16,0.25,1.46
248,True,,,,,
249,False,0.99,2.61,1.09,1.95,5.99
249,True,,,,,
250,False,,0.11,0.05,0.24,2.99
250,True,,,,,
251,False,0.37,0.92,0.3,0.71,1.39
251,True,,,,,
252,False,0.15,0.15,0.15,0.27,15.0
252,True,,,,,
253,False,1.04,1.18,0.66,1.21,2.98
253,True,,,,,
254,False,0.92,1.69,0.75,1.52,16.89
254,True,,,,,
255,False,2.54,2.78,1.46,3.45,11.68
255,True,,,,,
256,False,0.1,0.65,0.25,0.64,2.0
256,True,,,,,
257,False,0.05,0.05,0.05,0.24,1.94
257,True,,,,,
258,False,0.3,0.59,0.28,0.89,5.1
258,True,,,,,
259,False,0.11,0.27,0.14,0.48,2.72
259,True,,,,,
260,False,8.32,7.29,3.34,8.32,29.99
260,True,,,,,
261,False,0.17,0.18,0.15,0.3,2.0
261,True,,,,,
262,False,0.85,0.84,0.59,1.0,1.65
262,True,,,,,
263,False,0.37,0.84,0.28,0.71,3.0
263,True,,,,,
264,False,0.05,0.08,0.08,0.22,1.7
264,True,,,,,
265,False,0.2,0.12,0.08,0.26,2.0
265,True,,,,,
266,False,0.13,0.09,0.15,0.36,1.0
266,True,,,,,
267,False,0.09,0.11,0.05,0.25,0.99
267,True,,,,,
268,False,0.37,0.46,0.2,0.5,16.89
268,True,,,,,
269,False,0.05,0.12,0.09,0.25,2.99
269,True,,,,,
270,False,1.39,2.85,1.39,2.72,4.99
270,True,,,,,
271,False,0.07,0.15,0.07,0.32,0.99
271,True,,,,,
272,False,0.06,0.11,0.08,0.25,2.72
272,True,,,,,
273,False,0.25,0.83,0.46,1.26,2.28
273,True,,,,,
274,False,0.06,0.15,0.06,0.26,3.02
274,True,,,,,
275,False,,0.12,0.1,0.23,0.89
275,True,,,,,
276,False,1.95,3.34,1.95,3.12,249.99
276,True,,,,,
277,False,1.21,1.33,1.21,2.65,249.99
277,True,,,,,
278,False,0.19,0.46,0.24,0.5,1.25
278,True,,,,,
279,False,0.15,0.25,0.21,0.44,0.79
279,True,,,,,
280,False,0.13,0.09,0.09,0.22,2.72
280,True,,,,,
281,False,3.16,4.32,2.75,4.5,79.99
281,True,,,,,
282,False,0.13,0.17,0.14,0.4,2.72
282,True,,,,,
283,False,0.6,1.28,1.02,1.49,7.78
283,True,,,,,
284,False,17.59,22.49,15.91,19.04,29.99
284,True,,,,,
285,False,0.06,0.13,0.1,0.24,1.0
285,True,,,,,
286,False,0.18,0.21,0.14,0.25,1.0
286,True,,,,,
287,False,0.22,0.22,0.22,0.91,4.86
287,True,,,,,
288,False,0.09,0.1,0.08,0.24,1.7
288,True,,,,,
289,False,0.03,0.12,0.04,0.24,1.94
289,True,,,,,
290,False,0.2,0.23,0.19,0.37,1.0
290,True,,,,,
291,False,0.35,0.39,0.35,0.82,3.49
291,True,,,,,
292,False,0.07,0.11,0.09,0.25,16.89
292,True,,,,,
293,False,0.02,0.06,0.05,0.25,3.99
293,True,,,,,
295,False,0.09,0.1,0.08,0.25,3.02
295,True,,,,,
296,False,0.15,0.33,0.25,0.42,1.94
296,True,,,,,
297,False,0.68,1.22,0.62,1.11,4.53
297,True,,,,,
298,False,0.1,0.14,0.11,0.24,1.94
298,True,,,,,
299,False,0.29,0.69,0.29,0.5,9.99
299,True,,,,,
303,False,0.19,0.49,0.24,0.58,1.08
303,True,,,,,
304,False,0.05,0.1,0.08,0.25,2.0
304,True,,,,,
305,False,0.16,0.16,0.1,0.26,2.72
305,True,,,,,
306,False,,0.14,0.12,0.26,2.72
306,True,,,,,
307,False,0.49,1.54,0.2,1.43,4.0
307,True,,,,,
308,False,6.29,5.29,4.0,5.38,9.99
308,True,,,,,
309,False,0.17,0.24,0.17,0.33,2.72
309,True,,,,,
310,False,0.05,0.11,0.05,0.38,10000.0
310,True,,,,,
311,False,2.96,5.44,2.37,4.5,42.75
311,True,,,,,
312,False,0.15,0.14,0.1,0.26,2.72
312,True,,,,,
313,False,41.53,43.03,37.88,48.14,70.98
313,True,,,,,
314,False,0.09,0.11,0.1,0.25,3.02
314,True,,,,,
315,False,0.11,0.21,0.14,0.27,2.0
315,True,,,,,
316,False,56.48,99.16,69.01,92.5,219.98
316,True,,,,,
317,False,0.1,0.14,0.09,0.25,2.0
317,True,,,,,
318,False,0.05,0.1,0.08,0.22,1.7
318,True,,,,,
319,False,,0.14,0.1,0.25,2.0
319,True,,,,,
320,False,0.2,0.46,0.23,0.43,1.0
320,True,,,,,
321,False,0.09,0.1,0.09,0.25,0.93
321,True,,,,,
322,False,,0.26,0.15,0.35,2.72
322,True,,,,,
323,False,0.11,0.09,0.06,0.23,1.01
323,True,,,,,
324,False,0.05,0.6,0.05,0.56,40.0
324,True,,,,,
328,False,,0.1,0.07,0.32,2.72
328,True,,,,,
329,False,0.04,0.1,0.05,0.25,1.94
329,True,,,,,
330,False,53.58,61.0,49.99,60.95,115.0
330,True,,,,,
331,False,0.09,,0.04,0.25,1.94
331,True,,,,,
332,False,0.18,0.24,0.13,0.26,5.17
332,True,,,,,
333,False,0.67,1.47,0.7,1.31,2.5
333,True,,,,,
334,False,0.42,0.53,0.29,0.55,99.99
334,True,,,,,
335,False,0.45,1.23,0.45,0.75,1.84
335,True,,,,,
336,False,0.02,0.11,0.09,0.24,1.94
336,True,,,,,
337,False,,0.07,0.07,0.25,3.02
337,True,,,,,
338,False,0.09,0.24,0.08,0.25,1.7
338,True,,,,,
339,False,0.09,0.12,0.05,0.35,4.99
339,True,,,,,
340,False,0.1,0.22,0.1,0.31,16.89
340,True,,,,,
341,False,0.35,1.13,0.33,0.66,9.99
341,True,,,,,
345,False,0.08,0.24,0.09,0.28,3.3
345,True,,,,,
346,False,0.15,0.24,0.2,0.28,0.98
346,True,,,,,
347,False,7.0,6.99,10.88,11.25,14.0
347,True,,,,,
348,False,4.32,5.1,3.75,5.59,29.99
348,True,,,,,
349,False,0.22,0.24,0.17,0.3,1.0
349,True,,,,,
350,False,0.12,0.17,0.1,0.25,1.94
350,True,,,,,
351,False,0.07,0.09,0.05,0.25,1.7
351,True,,,,,
352,False,0.51,2.58,0.51,2.5,16.89
352,True,,,,,
353,False,0.08,0.05,0.09,0.24,1.0
353,True,,,,,
354,False,0.26,0.32,0.28,0.59,1.7
354,True,,,,,
355,False,24.78,27.3,20.0,27.5,38.49
355,True,,,,,
356,False,0.23,0.35,0.23,0.35,9.99
356,True,,,,,
360,False,0.33,0.65,0.44,0.71,3.51
360,True,,,,,
361,False,0.2,0.25,0.25,0.48,1.21
361,True,,,,,
362,False,0.13,0.09,0.09,0.25,1.0
362,True,,,,,
363,False,0.16,0.13,0.09,0.25,9.99
363,True,,,,,
364,False,0.19,0.29,0.19,0.49,9.99
364,True,,,,,
365,False,0.18,0.26,0.25,0.44,1.0
365,True,,,,,
366,False,0.25,0.27,0.27,0.53,16.89
366,True,,,,,
367,False,2.0,2.41,1.49,2.48,4.75
367,True,,,,,
368,False,0.1,0.13,0.1,0.25,2.99
368,True,,,,,
369,False,2.02,1.65,1.3,2.58,249.99
369,True,,,,,
370,False,0.24,0.1,0.22,0.47,1.0
370,True,,,,,
371,False,3.04,4.88,2.77,4.83,8.52
371,True,,,,,
372,False,0.08,0.11,0.09,0.24,2.0
372,True,,,,,
373,False,0.11,0.11,0.11,0.44,1.0
373,True,,,,,
374,False,0.1,0.08,0.1,0.25,2.72
374,True,,,,,
375,False,0.09,,0.09,0.24,1.7
375,True,,,,,
376,False,0.14,0.11,0.07,0.24,2.89
376,True,,,,,
377,False,,0.08,0.07,0.25,1.94
377,True,,,,,
378,False,0.07,0.1,0.07,0.25,1.11
378,True,,,,,
379,False,0.74,0.86,0.7,0.96,1.48
379,True,,,,,
380,False,0.61,0.85,0.5,0.93,4.99
380,True,,,,,
381,False,0.71,2.1,0.71,2.15,9.5
381,True,,,,,
382,False,0.01,0.14,0.08,0.25,2.0
382,True,,,,,
383,False,0.12,0.14,0.12,0.33,2.72
383,True,,,,,
384,False,0.25,0.28,0.15,0.32,16.89
384,True,,,,,
385,False,,0.15,0.13,0.25,0.99
385,True,,,,,
386,False,0.06,0.13,0.12,0.25,1.0
386,True,,,,,
387,False,0.2,0.14,0.13,0.26,2.91
387,True,,,,,
388,False,0.14,0.27,0.17,0.36,16.89
388,True,,,,,
389,False,0.1,0.23,0.17,0.49,3.0
389,True,,,,,
390,False,2.17,3.86,2.0,3.31,11.58
390,True,,,,,
391,False,3.37,5.07,2.95,4.39,5.78
391,True,,,,,
392,False,0.2,0.55,0.26,0.55,9.99
392,True,,,,,
396,False,0.41,0.48,0.43,1.7,3.98
396,True,,,,,
397,False,0.72,0.66,0.35,0.89,2.49
397,True,,,,,
398,False,0.25,0.58,0.23,0.62,3.99
398,True,,,,,
399,False,5.78,11.28,10.09,12.0,249.99
399,True,,,,,
400,False,0.8,1.4,0.4,1.05,4.08
400,True,,,,,
401,False,,0.14,0.09,0.24,2.0
401,True,,,,,
402,False,12.79,22.18,12.21,16.99,27.87
402,True,,,,,
403,False,0.1,0.11,0.09,0.25,2.72
403,True,,,,,
404,False,0.07,0.23,0.1,0.39,49.0
404,True,,,,,
405,False,0.1,0.12,0.12,0.26,3.02
405,True,,,,,
406,False,0.11,0.34,0.19,0.38,3.99
406,True,,,,,
407,False,0.21,0.35,0.21,0.46,1.08
407,True,,,,,
408,False,0.09,0.09,0.05,0.25,0.92
408,True,,,,,
424,False,17.83,17.99,13.37,19.3,331.0
